"","state","year","X","st","partycontrol","democracy_mcmc","democracy_mcmc_sd","democracy_mcmc_se","democracy_additive","democracy_mcmc_lib","democracy_mcmc_lib_sd","democracy_mcmc_lib_se","democracy_additive_lib","unified_r","unified_d","divided_govt","democracy_full_factanal","pct_black","pct_white","pct_latino","pct_black_lag","pct_latino_lag","pct_black_change_ratio","pct_latino_change_ratio","pct_black_change","pct_latino_change","icpsr","hou_chamber","sen_chamber","hou_dem","hou_rep","hou_majority","sen_dem","sen_rep","sen_majority","h_diffs","s_diffs","h_distance","s_distance","h_dem_sd","s_dem_sd","h_rep_sd","s_rep_sd","h_chamber_sd","s_chamber_sd","polarization_sen","polarization_hou","polarization_avg","rolldemleg","rolldemvs","competition_allleg","competition_votes","competition_index","competition_allleg_lag","competition_votes_lag","competition_index_lag","cost_of_voting_index","vep_turnout","Democratic","Republican","period","id","placebo"
"550","New Hampshire",2017,2417,"NH",0,-0.115284692701645,0.310846234175668,0.00982982102081184,0.58784912680605,-0.0643961737665622,0.306608045772036,0.00969579773572794,0.154191479397169,1,0,0,NA,2.00113138694249,94.4789651738933,3.72749737356603,1.71156516324921,3.15259357978384,0.169182120500493,0.182358994025993,0.289566223693275,0.574903793782185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,18,29,0
"551","New Hampshire",2018,2467,"NH",0,-0.134283786128595,0.313937539850119,0.00992757668956253,0.546946516263729,-0.0706374106557623,0.319220584247066,0.010094641222304,0.143462818346002,1,0,0,NA,2.08354113331338,94.3567066750895,3.87856353876901,1.76353985964581,3.26248124073287,0.181453950086417,0.188838571803635,0.320001273667578,0.616082298036146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.546473,0,1,19,29,1
"552","New Jersey",2000,1452,"NJ",0,0.134184054614907,0.316272551425724,0.0100014162389802,-0.607785003566338,0.167188346199343,0.30025340870427,0.0094948464673492,-0.159420614205024,1,0,0,1.05175818225505,14.762684741729,78.7223384849111,13.3905082436988,14.5392605964762,11.8800122116483,0.0153669537573971,0.127145999948507,0.223424145252794,1.51049603205049,12,-0.078,-0.055,-1.049,0.008,0.008,-0.908,-0.019,-0.019,1.057,0.889,0.604990840074094,0.482754503506001,0.120966424787822,0.0724460013416543,0.120606671691693,0.0620254342796872,0.552101017138792,0.452740158751322,-1.12710600400831,-0.853741872286341,-0.990423938147327,44.6967315673828,52.0793800354004,0.763293240026102,1.00506118284196,0.994265987270275,0.763293240026102,1.00506118284196,0.994265987270275,0.427,NA,0,1,1,30,0
"553","New Jersey",2001,1453,"NJ",0,0.161328566944461,0.317384623142359,0.0100365830344404,-0.596462016033861,0.167375935034065,0.296267338056858,0.00936879584574755,-0.1564506205124,1,0,0,1.00374095291236,14.8042235475741,78.3277369392974,13.8205283119998,14.6073493869184,12.2859421950239,0.0134777470875076,0.124905855213732,0.196874160655744,1.53458611697594,12,-0.075,-0.055,-1.049,0.016,0.016,-0.908,-0.019,-0.019,1.065,0.889,0.602544098142284,0.477782035600431,0.120966424787822,0.0724460013416543,0.118828119373518,0.0856381503849701,0.551224574855179,0.44667402316835,-1.12710600400831,-0.838320366054683,-0.982713185031499,NA,NA,0.763293240026102,NA,0.994265987270275,0.763293240026102,NA,0.994265987270275,NA,NA,0,1,2,30,0
"554","New Jersey",2002,1454,"NJ",1,1.27727587895633,0.314981233878887,0.00996058119267477,0.214001089258028,1.24379209201724,0.305147204980094,0.00964960189371371,0.0561319955080716,0,0,1,1.35581093792597,14.8354491120464,77.9534232868132,14.2511151231263,14.6868180173849,12.6673108560471,0.0101200337939487,0.125030820280463,0.148631094661509,1.58380426707918,12,-0.778,-0.456,-0.981,0.018,-0.981,-0.943,-0.002,-0.943,0.999,0.941,0.59949925550791,0.538379347498515,0.153916950836909,0.102176167065527,0.130637555601397,0.0557281329976793,0.53864453807285,0.49572610657549,-1.02532296556484,-0.965547792465855,-0.995435379015348,50.3217353820801,52.7268753051758,1.2863451473533,0.916280358284215,1.29324228635092,0.763293240026102,1.00506118284196,0.994265987270275,NA,NA,0,0,3,30,0
"555","New Jersey",2003,1455,"NJ",1,1.28569529235384,0.304792020267141,0.00963836996688367,0.200605334674572,1.25905396655556,0.300039183110656,0.00948807205925999,0.0526183197659861,0,0,1,1.33392688767513,14.8766561544269,77.6001051921536,14.6897331388534,14.7284939264978,13.008362130592,0.010059564044258,0.129253090541451,0.148162227929069,1.68137100826139,12,-0.649,-0.833,-0.981,0.018,-0.981,-0.943,-0.003,-0.943,0.999,0.94,0.597611820520368,0.536257030353948,0.149069070293115,0.100742398613515,0.123159064817967,0.0598762903059003,0.537510429075415,0.492753491521321,-1.02728033168875,-0.965547792465855,-0.996414062077305,NA,NA,1.2863451473533,NA,1.29324228635092,0.763293240026102,NA,0.994265987270275,NA,NA,0,0,4,30,0
"556","New Jersey",2004,1456,"NJ",2,1.35243632776567,0.296640339706968,0.00938059119360103,0.158731313497751,1.31459411587289,0.293786456498162,0.00929034348244166,0.0416348599305636,0,1,0,1.33707192690436,14.9195541035613,77.2558442751172,15.1107971789185,14.762684741729,13.3905082436988,0.0106260727351886,0.128470772274778,0.156869361832269,1.72028893521976,12,-0.843,-0.837,-0.953,0.027,-0.953,-0.927,0.011,-0.927,0.98,0.938,0.578628282640434,0.528834134602377,0.146542614216511,0.110972687732734,0.127354983838024,0.0656284570653614,0.524046925317696,0.486622323050825,-1.03119506393658,-1.00217386976604,-1.01668446685131,55.7384033203125,54.2856559753418,0.717604868465644,0.702549324774086,0.812052708672695,1.2863451473533,0.916280358284215,1.29324228635092,0.103,NA,1,0,5,30,0
"557","New Jersey",2005,1457,"NJ",2,1.36116421668408,0.313621679042224,0.00991758829379722,0.15179064425766,1.31170911383451,0.315120689690792,0.00996499117266043,0.0398143382876198,0,1,0,1.3477182820404,14.9515821476116,76.9082870568034,15.526306482197,14.8042235475741,13.8205283119998,0.00995382159448943,0.123423514042955,0.147358600037492,1.70577817019717,12,-0.843,-0.837,-0.955,0.027,-0.955,-0.927,0.011,-0.927,0.982,0.938,0.578735982867551,0.526091318554379,0.146507024272087,0.103145306255836,0.127354983838024,0.0656284570653614,0.52415674116561,0.484466195074346,-1.03119506393658,-0.998318493208127,-1.01475677857235,NA,NA,0.717604868465644,NA,0.812052708672695,1.2863451473533,NA,1.29324228635092,NA,NA,1,0,6,30,0
"558","New Jersey",2006,1458,"NJ",2,0.920641305785244,0.292312690890115,0.00924373892185515,-0.0973669500334962,0.891763424951795,0.286659370927769,0.00906496524762805,-0.0255391279589471,0,1,0,1.33622217643153,14.9930862134235,76.5784093361114,15.9442528405867,14.8354491120464,14.2511151231263,0.0106257047013898,0.118807384743728,0.1576371013771,1.69313771746042,12,-0.856,-0.835,-0.98,0.035,-0.98,-0.934,0.011,-0.934,1.015,0.945,0.5812291430794,0.530374776052163,0.151278744875897,0.104208642402632,0.138644969510068,0.0656284570653614,0.528089607343858,0.48752230192168,-1.01749350106919,-0.934704780002541,-0.976099140535865,57.9166641235352,55.6921730041504,0.48889144707043,0.509695805372385,0.564762845625243,0.717604868465644,0.702549324774086,0.812052708672695,NA,NA,1,0,7,30,0
"559","New Jersey",2007,1459,"NJ",2,0.902166724027468,0.296919165155226,0.00938940842846217,-0.0771421250668618,0.877183122623653,0.295881902308106,0.00935660729717046,-0.0202342026984507,0,1,0,1.7455906682916,15.0305517991999,76.2311554024973,16.3621320171908,14.8766561544269,14.6897331388534,0.0103447739314191,0.113848145676249,0.153895644773002,1.67239887833741,12,-0.856,-0.835,-0.98,0.035,-0.98,-0.934,0.011,-0.934,1.015,0.945,0.580699233057269,0.530374776052163,0.151005731412652,0.104208642402632,0.138644969510068,0.0656284570653614,0.527741472292195,0.48752230192168,-1.01749350106919,-0.934704780002541,-0.976099140535865,NA,NA,0.48889144707043,NA,0.564762845625243,0.717604868465644,NA,0.812052708672695,NA,NA,1,0,8,30,0
